create,作成する
increase,増加
improve,改善する
mean,平均
own,自分の
include,含む
consider,考慮する
allow,許可する
suggest,提案する
produce,生産する
decide,決める
offer,オファー
require,必要とする
share,共有
store,店
tend,傾向がある
concern,懸念
describe,説明する
involve,関与する
reduce,減らす
design,デザイン
force,力
limit,制限
bear,クマ
affect,影響する
deal,取引
avoid,避ける
relate,関係する
realize,気づく
encourage,奨励する
compare,比較する
measure,測定
exist,存在する
mark,マーク
challenge,チャレンジ
depend,依存する
object,物体
demand,要求
found,見つかった
complete,完了
idea,アイデア
accord,アコード
company,会社
interest,興味
research,研究
cause,原因
reason,理由
effect,効果
influence,影響
situation,状況
environment,環境
skill,スキル
matter,案件
view,ビュー
value,価値
species,種
thought,考え
knowledge,知識
memory,メモリ
practice,練習する
benefit,利点
theory,理論
issue,問題
experiment,実験
article,記事
focus,集中
subject,主題
project,プロジェクト
quality,品質
role,役割
term,学期
statement,声明
material,材料
evidence,証拠
source,ソース
community,コミュニティ
technology,テクノロジー
culture,文化
appropriate,適切な
likely,おそらく
possible,可能
individual,個人
public,公共
common,一般
certain,ある
similar,似ている
recent,最近の
major,選考科目
patient,忍耐強い
particular,特定の
physical,物理的な
various,様々な
available,利用可能
native,ネイティブ
political,政治的
due,期限
blank,空白
ancient,古代
correct,正しい
despite,にもかかわらず
notice,知らせ
refer,参照する
approach,アプローチ
wonder,不思議
imagine,想像する
recognize,認識する
solve,解決する
occur,起こる
argue,主張する
claim,請求
express,急行
draw,描く
waste,無駄
advance,前進
spread,広める
prepare,準備する
gain,得
achieve,成し遂げる
establish,確立する
supply,供給
suppose,仮定する
perform,実行する
prefer,好む
determine,決定する
treat,扱う
prove,証明する
apply,適用する
mention,言及
communicate,通信する
contain,含む
contact,接触
regard,尊重する
respect,尊敬
search,検索
connect,接続する
decline,衰退
prevent,防ぐ
suffer,苦しむ
survive,生き残る
publish,公開
opportunity,機会
task,タスク
industry,業界
medium,中くらい
economy,経済
policy,ポリシー
account,アカウント
trade,貿易
model,モデル
figure,形
cell,細胞
image,画像
emotion,感情
stress,ストレス
decade,十年
range,範囲
character,キャラクター
advantage,アドバンテージ
phrase,フレーズ
damage,ダメージ
impact,インパクト
method,方法
resource,リソース
region,地域
medicine,薬
detail,詳細
feature,特徴
function,関数
access,アクセス
item,アイテム
income,所得
attitude,態度
site,サイト
aspect,側面
structure,構造
habit,癖
link,リンク
instance,実例
positive,ポジティブ
negative,ネガティブ
complex,複雑な
current,現在
mental,精神的
specific,特定の
significant,重要な
essential,不可欠
official,正式
financial,金融
academic,アカデミック
aware,わかっている
worth,価値
potential,潜在的
active,アクティブ
digital,デジタル
mobile,携帯
novel,小説
plastic,プラスチック
chemical,化学薬品
necessary,必要
eventually,最終的に
identify,識別する
represent,代表する
indicate,示す
manage,管理
attend,出席する
maintain,維持する
survey,調査
replace,交換する
sort,選別
conduct,行為
associate,仲間
attempt,試み
promote,推進する
earn,得る
unite,団結する
feed,餌
seek,求める
observe,観察する
reveal,明らかにする
estimate,見積もり
reflect,反映する
attract,引きつける
decrease,減少
ignore,無視する
match,マッチ
define,定義する
adapt,適応する
contribute,貢献する
exchange,交換
display,画面
respond,応答する
hide,隠れる
doubt,疑い
remove,取り除く
wind,風
assume,仮定する
relax,リラックス
satisfy,満足する
desire,欲望
succeed,成功する
concept,コンセプト
fashion,ファッション
device,デバイス
charge,充電
contrast,対比
colleague,同僚
pain,痛み
bill,請求書
content,コンテンツ
section,セクション
audience,観客
surface,表面
crop,作物
topic,トピック
technique,技術
status,状態
option,オプション
reward,褒美
race,人種
crime,犯罪
conflict,対立
struggle,闘争
context,コンテクスト
debate,議論
fuel,燃料
pollution,汚染
trend,傾向
balance,バランス
traffic,渋滞
strategy,戦略
basis,基礎
consequence,結果
aim,標的
ancestor,祖先
gene,遺伝子
track,追跡
revolution,回転
progress,進捗
cognitive,認知
ideal,理想的
efficient,効率的
universal,普遍的
vast,広大な
extra,余分な
entire,全体
familiar,おなじみ
obvious,明らか
moral,道徳
ordinary,普通
equal,等しい
previous,前の
false,間違い
rare,レア
legal,法律上の
independent,独立した
extreme,過激
actual,実際の
willing,喜んで
urban,都会的な
whereas,一方
predict,予測する
examine,診る
trust,信頼
stick,スティック
emerge,出現する
vary,変化する
release,リリース
divide,分ける
enable,有効にする
judge,裁判官
rely,頼る
engage,従事する
shift,シフト
adopt,採用する
acquire,取得する
expand,拡大する
refuse,拒否する
strike,ストライク
repeat,繰り返す
consume,消費する
confuse,混乱
select,選択
evolve,進化
convince,納得させる
recall,想起
destroy,破壊する
preserve,保存する
organize,整理する
warn,警告する
address,住所
operate,操作する
participate,参加する
surround,囲む
flow,流れ
bore,穴
complain,不平をいう
host,ホスト
combine,組み合わせる
extend,伸ばす
appreciate,感謝する
target,ターゲット
element,要素
principle,原理
phenomenon,現象
atmosphere,雰囲気
origin,起源
personality,人格
capacity,容量
profit,利益
circumstance,状況
manner,態度
threat,脅威
resident,居住者
wealth,富
institution,機関
authority,権限
vote,投票する
sight,視力
campaign,キャンペーン
fund,基金
web,ウェブ
symbol,シンボル
analysis,分析
version,バージョン
perspective,視点
crisis,危機
disaster,災害
lecture,講義
psychology,心理学
gender,性別
custom,カスタム
court,裁判所
desert,砂漠
soil,土壌
agriculture,農業
fossil,化石
document,書類
vocabulary,語彙
intelligent,知的
conscious,意識的な
capable,有能
accurate,正確な
fundamental,基本的
artificial,人工的な
firm,固い
overall,全体
rural,田舎
military,軍隊
nuclear,核
biological,生物学的
